1=0, 42289, 24509, 17580, 14856, 13235, 12102, 10844, 10713, 9519, 9398, 9295, 9145, 9130, 8421
2=0, 561000, 323797, 240417, 191126, 136730, 128600, 126974, 126047, 114418, 74469, 74189, 74147, 74051, 73681
3=0, 26096, 14525, 10607, 9198, 7733, 6674, 6504, 6388, 5480, 5418, 5380, 5303, 5253, 5192
4=0, 180147, 94069, 68221, 51578, 46876, 36589, 36270, 30695, 26586, 26206, 25823, 25696, 25380, 25167
5=0, 179716, 94160, 68418, 51377, 46907, 36593, 36301, 30754, 26583, 26222, 25904, 25717, 25417, 25150
6=0, 52458, 28654, 20944, 16405, 14772, 13318, 11865, 10691, 10401, 10189, 9119, 8998, 8914, 8685
7=0, 37593, 21293, 15793, 12963, 11709, 10479, 10256, 9121, 8946, 8799, 8691, 8023, 7972, 7886
8=0, 463404, 279094, 185454, 161367, 126266, 116889, 115895, 103694, 69778, 69244, 69140, 68812, 68767, 68423
9=0, 464450, 279620, 185208, 162205, 126113, 117152, 115993, 104252, 69714, 69143, 69165, 69112, 68955, 68586
10=0, 23316, 13098, 10386, 7776, 7547, 6358, 6180, 5257, 5102, 5110, 5071, 5012, 4957, 4842
11=0, 23263, 12943, 10232, 7760, 7506, 6328, 6227, 5222, 5118, 5105, 5055, 4995, 4926, 4833
12=0, 23248, 12914, 10160, 7620, 7485, 6277, 6156, 5188, 5044, 5010, 4963, 4890, 4818, 4726
13=0, 159338, 83482, 61830, 46641, 40599, 35908, 30455, 26030, 25440, 25582, 25349, 25121, 24959, 20086
14=0, 159457, 83482, 61880, 46749, 40659, 36016, 30365, 26113, 25518, 25657, 25434, 25227, 25045, 20067
15=0, 159185, 83393, 61835, 46796, 40683, 35995, 30303, 26225, 25550, 25631, 25414, 25154, 24974, 20060
16=0, 159255, 83303, 61779, 46790, 40661, 36027, 30267, 26308, 25874, 25669, 25301, 25125, 24979, 20100
17=0, 159242, 83237, 61701, 46833, 40637, 35993, 30236, 26298, 25934, 25665, 25272, 25228, 25013, 20109
18=0, 47037, 25997, 19755, 15401, 13747, 12365, 10944, 10863, 10661, 9490, 9336, 9225, 9127, 8288
19=0, 46136, 25034, 18840, 14502, 12920, 11494, 10065, 10005, 9816, 8636, 8535, 8403, 8327, 7519
20=0, 45927, 25011, 18858, 14482, 12874, 11508, 10068, 9980, 9795, 8658, 8525, 8406, 8330, 7491
21=0, 45489, 24432, 18285, 13900, 12274, 10918, 9492, 9421, 9233, 8093, 7992, 7855, 7760, 6954
22=0, 20468, 11444, 8677, 7317, 6187, 6039, 4968, 4966, 4915, 4845, 4811, 4759, 4749, 4190
23=0, 20360, 11358, 8605, 7270, 6115, 5958, 4949, 4940, 4814, 4757, 4721, 4631, 4641, 4077
24=0, 392581, 233447, 177370, 132977, 124118, 123124, 111088, 81534, 81220, 81313, 81220, 80916, 81179, 73958
25=0, 21687, 12810, 10232, 8784, 7436, 7394, 6310, 6309, 6180, 6122, 6078, 5977, 6029, 5424
26=0, 141909, 76547, 55431, 44694, 40000, 34267, 29968, 29947, 29695, 29387, 29148, 23994, 24065, 20385


