1=0, 53417, 29576, 22129, 17495, 15851, 14310, 12841, 11600, 11431, 11174, 10209, 10254, 9948
2=0, 53367, 29580, 21988, 17514, 15888, 14357, 12959, 11554, 11488, 11245, 10186, 10245, 10034
3=0, 53427, 29550, 21960, 17543, 15912, 14367, 13142, 11575, 11501, 11259, 10200, 10285, 10075
4=0, 53346, 29564, 21951, 17509, 15874, 14366, 12967, 11551, 11511, 11251, 10178, 10275, 10040
5=0, 53548, 29553, 21976, 17491, 15884, 14371, 12882, 11543, 11519, 11247, 10182, 10276, 10033
6=0, 53661, 29596, 21959, 17559, 15890, 14385, 12883, 11749, 11529, 11210, 10208, 10256, 10045
7=0, 53704, 29591, 21930, 17508, 15899, 14393, 12902, 11563, 11578, 11204, 10203, 10258, 10056
8=0, 53759, 29653, 21944, 17513, 15886, 14399, 12889, 11573, 11552, 11204, 10189, 10267, 10018
9=0, 53510, 29667, 21911, 17496, 15892, 14415, 12883, 11587, 11532, 11199, 10182, 10256, 10023
10=0, 53428, 29543, 21962, 17534, 15899, 14418, 12899, 11584, 11525, 11345, 10211, 10273, 10016
11=0, 53370, 29571, 21993, 17542, 15911, 14391, 12920, 11612, 11555, 11238, 10182, 10295, 10051
12=0, 53387, 29549, 21965, 17564, 15911, 14414, 12909, 11598, 11548, 11263, 10225, 10293, 10072
13=0, 473748, 287897, 194735, 171112, 135136, 125616, 124678, 112409, 78002, 77567, 77793, 77840, 77309
14=0, 473443, 289600, 194889, 172814, 135639, 126413, 125206, 112679, 78514, 78229, 78308, 78197, 77705
15=0, 473346, 289581, 194831, 173757, 135567, 126414, 125183, 112634, 78456, 78386, 78296, 78115, 77909
16=0, 472950, 289470, 194332, 174659, 135554, 126348, 125008, 112636, 78307, 78514, 78215, 77939, 77796
17=0, 159659, 83442, 61734, 47997, 40685, 36065, 30294, 26100, 25934, 25759, 25366, 25222, 25002
18=0, 158938, 83394, 61764, 47948, 40719, 36037, 30313, 26098, 25859, 25772, 25379, 25164, 25050
19=0, 158933, 83405, 61762, 48026, 40729, 36130, 30319, 26041, 25877, 25795, 25385, 25222, 24989
20=0, 159310, 83376, 61721, 48058, 40730, 36072, 30261, 26040, 25897, 25794, 25400, 25164, 24957
21=0, 34359, 20611, 14943, 13780, 12126, 10791, 9517, 9400, 9291, 9247, 8348, 8315, 8115
22=0, 34285, 20440, 14982, 13796, 12092, 10797, 9615, 9405, 9329, 9285, 8447, 8467, 8199
23=0, 34197, 20493, 14911, 13805, 12072, 10781, 9550, 9439, 9330, 9287, 8547, 8449, 8242
24=0, 34096, 20446, 14955, 13799, 12069, 10789, 9614, 9427, 9343, 9275, 8406, 8487, 8225
25=0, 375708, 216338, 160117, 119767, 107293, 105748, 93514, 64153, 64119, 64027, 63840, 63820, 63719
26=0, 376034, 216403, 160128, 120032, 107478, 105855, 93649, 64277, 64109, 63981, 63815, 63888, 63851
27=0, 376250, 216456, 160055, 119974, 107465, 106013, 93757, 64264, 64197, 63906, 63836, 63922, 63772
28=0, 375456, 216521, 159957, 120142, 107349, 106116, 93693, 64182, 64205, 63632, 63866, 63831, 63785
29=0, 138207, 72590, 50988, 41651, 35936, 30053, 25768, 25521, 25377, 25024, 24825, 19935, 19835
30=0, 137885, 72446, 51020, 41605, 35946, 30033, 25757, 25511, 25311, 24994, 24832, 19909, 19845
